"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"39","""Hartford Water & Light Plant","Alabama","01-576","1e+05","17411","370","591080"
"40","*City of Hartselle •","Alabama","01-578","77747","28226","789","1597800"
"41","*City of Huntsville ""","Alabama","01-582","1621358","284976","6142","30671620"
"42","""Lafayette Light and Water Plant","Alabama","01-587","124684","23316","415","1159280"
"43","*City of Lanett","Alabama","01-598","80000","32275","850","961600"
"44","""Town of Luverne","Alabama","01-609",NA,NA,NA,NA
"45","*Town of Muscle Shoals a","Alabama","01-620","31850","8798","180",NA
"46","*Opelika Light and Water","Alabama","01-631","185228","86780","1361","4270900"
"47","•""City of Piedmont","Alabama","01-642","32492","30048","914","1238400"
"48","*City of Russellville *","Alabama","01-646","137307","33073","718","1862700"
"49","*Scottsboro Electric Department *","Alabama","01-648","159579","53398","986","3468500"
"50","'Sheffield City Power & Water","Alabama","01-650","333354","114117","1642","7417220"
"51","*Sylacauga Electric Department","Alabama","01-653",NA,NA,NA,NA
"52","""Tennessee Valley Authority","Alabama","01-655",NA,"2533334","1821",NA
"53","*City of Tarrant City, Electric","Alabama","01-660","332420","42201","1375","2236277"
"54","*City of Troy Electric Department","Alabama","01-664","1e+05","38518","1384",NA
"55","*City of Tuscumbia Electricity","Alabama","01-668","144911","63537","1191","4091205"
"56","*City of Tuskegee","Alabama","01-670",NA,NA,NA,NA
"57",NA,"Alabama","01-164",NA,NA,NA,NA
"58","*Alabama Electric Cooperative","Alabama","01-800",NA,NA,NA,NA
"59","'""Baldwin County Electric Mem","Alabama","01-802","260121","39484","955","782640"
"60","*Black Warrior Electric Member","Alabama","01-804","358046","25014","881","233520"
"61","""'Central Alabama Electric Coop","Alabama","01-808","351176","27178","912","210300"
"62","""""Cherokee County Electric Mem","Alabama","01-810",NA,NA,NA,NA
"63","""Clarke- Washington Electric","Alabama","01-815","164245",NA,"19578","316788"
"64","*Coosa Valley Electric Coopera","Alabama","01-820","23115","5135","464",NA
"65","*Cullman Electric Cooperative""","Alabama","01-824",NA,NA,NA,NA
"66","*Dixie Electric Cooperative","Alabama","01-830","324291","39838","896","724290"
"67","*North Alabama Electric","Alabama","01-858","194152","32175","1112","1846135"
"68","*Pea River Electric Cooperative","Alabama","01-865","360000","26390","945","378330"
"69","*Pioneer Electric Cooperative, Inc.","Alabama","01-867","342943","31598","1161","537680"
"70","'Sand Mountain Electric Coop","Alabama","01-870","163273","26846","1895","1070157"
"71","*South Alabama Electric","Alabama","01-875","660195","73199","2252",NA
"72","'""Southern Pine Electric Member","Alabama","01-878","222887","16499","480","236040"
"73","*Tallapoosa River Electric Coop","Alabama","01-882","269624","16164","620","187404"
"74","*JoeWheeler Electric Membership","Alabama","01-885","432077","9436","1980","3109520"
"75","Ajo Improvement Company","Arizona","02-010","13187",NA,"877","1131023"
"76","Arizona Edison Company, Inc.","Arizona","02-015","3552433","1093601",NA,"20868718"
"77","Arizona Electric Power Company","Arizona","02-021","826466","150173","1682",NA
"78","Arizona General Utilities Company","Arizona","02-027","589940","148892","1721",NA
"79","The Arizona Power Corporation","Arizona","02-033","5882732","696814",NA,"1030210"
"80","California Electric Power","Arizona","02-045",NA,NA,NA,NA
"81","UM1.","Arizona","02-096",NA,NA,NA,NA
"82","Central Arizona Light and Power","Arizona","02-049","15336970","3574697","30960","31190111"
"83","Citizens Utilities Company","Arizona","02-054","4761702",NA,NA,"31823479"
"84","Duncan Utilities Co.","Arizona","02-060","96000","256","443",NA
"85","Eloy Light, Power & Utility","Arizona","02-071","124925","160000","275",NA
"86","Flagstaff F'ectric Light Company","Arizona","02-077","369518","131468","1520","2198831"
"87","Fredonia Power & Light Company","Arizona","02-082",NA,NA,NA,NA
"88","Holbrook Light and Power","Arizona","02-088","123129","61937","590","1290305"
"89","Hualapai Trading Post","Arizona","02-090",NA,NA,NA,NA
"90","Lakeside Light and Power","Arizona","02-092",NA,"2944","96",NA
"91","Mammoth Light and Power","Arizona","02-094",NA,NA,NA,NA
"92","The Morenci Water & Electric","Arizona","02-095","67998","67436","1470","1382263"
"93","The Nevada-California Electric","Arizona","02-096",NA,NA,NA,NA
"94","The following data are for the year 1040:","Arizona","02-O45",NA,"342475","1511",NA
"95","Northern Arizona Utilities","Arizona","02-099",NA,NA,NA,NA
"96","Parker Electric Supply","Arizona","02-102","30000",NA,NA,NA
"97","Patagonia Ice & Light Company","Arizona","02-104",NA,NA,NA,NA
"98","Ray Electric and Telephone","Arizona","02-121","77185","49256","872","951047"
"99","Round Valley Light & Power","Arizona","02-127","71200","16973","279",NA
"100","San Simon Light & Power","Arizona","02-138",NA,NA,NA,NA
"101","Principal Officer:","Arizona","02-890","4758","897","21",NA
"102","Southern Arizona Public Service","Arizona","02-148","249832","50896","707",NA
"103","The Tucson Gas, Electric Light","Arizona","02-160","7444551","1412015","18840",NA
"104","Upper Verde Public Utilities","Arizona","02-171","158773","98050","1345","2032183"
"105","Warren Company","Arizona","02-177","130628","28717","626","661678"
"106","The Atchison, Topeka & Santa Fe","Arizona","02-202",NA,"6105",NA,NA
"107","Inspiration Consolidated Copper","Arizona","02-210",NA,"687550",NA,NA
"108","Kennecott Copper Corporation","Arizona","02-221",NA,NA,NA,NA
"109","Paul Lime Plant","Arizona","02-228",NA,NA,"1206",NA
"110","Payson Garage","Arizona","02-230","6000","2777",NA,NA
"111","Phelps Dodge Corporation","Arizona","02-232",NA,"27645","1",NA
"112","Pine-Payson Motor Co. & Randall","Arizona","02-240",NA,NA,NA,NA
"113","The Tom Reed Gold Mines","Arizona","02-243","23862","14579","250",NA
"114","Rees Hotel","Arizona","02-254",NA,NA,NA,NA
"115","Saginaw and Manistee Lumber","Arizona","02-255","389380","28934","2",NA
"116","Southwest Lumber Mills, Inc.","Arizona","02-260","2e+05",NA,NA,NA
"117","*Gila Valley Power District","Arizona","02-507","211852","49841","120","3483208"
"118","""City of Mesa-Utilities","Arizona","02-512","282259","101836","1844","19404961580"
"119","*Salt River Valley Water Users'","Arizona","02-523","23820348","2934477","7341","281047058"
"120","•'Tombstone Light & Power Plant","Arizona","02-525","25000","9362","180",NA
"121","""San Carlos Irrigation & Drainage","Arizona","02-526","142288","23439","200","702810"
"122","*Showlow- Silver Creek Water","Arizona","02-530","89911","14360",NA,NA
"123","*U. S. Bureau of Reclamation,","Arizona","02-535",NA,NA,NA,NA
"124","*Wickenburg Light & Power","Arizona","02-538",NA,"29477","400",NA
"125","*Town of Williams","Arizona","02-550","50000","43713","625","844847"
"126","*U. S. Indian Irrigation Service,","Arizona","02-555","1436162","197205","591",NA
"127","*Sulphur Springs Valley Electric","Arizona","02-890","435738",NA,"516",NA
"128","Arkansas General Utilities","Arkansas","03-010.",NA,"61577","1173","1666080"
"129","Arkansas-Missouri Power","Arkansas","03-016",NA,"621442","7948",NA
"130","Arkansas Power & Light Company","Arkansas","03-022","64749589","8787266","86926","374406000"
"131","Arkansas Utilities Company","Arkansas","03-029","1809406",NA,"4627","3761000"
"132","Benton County Utilities","Arkansas","03-035","256413","36805","847","1112984"
"133","Bradley Ice & Light Company","Arkansas","03-045","8000","1250","72","48000"
"134","Calico Rock Ice & Electric","Arkansas","03-054",NA,"6028","163",NA
"135","Citizens Electric Company","Arkansas","03-067 .","1780858","494437","6735","2344500"
"136","Citizens Light & Power Company","Arkansas","03-073","32839",NA,"231","146434"
"137","Clinton Light & Ice Company, Inc.","Arkansas","03-076","6047","2596","67","86100"
"138","Elaine Utilities Company","Arkansas","03-082",NA,NA,"207",NA
"139","Graham Brothers Company","Arkansas","03-095","1809",NA,NA,"56702"
"140","Huntsville Utilities, Inc.","Arkansas","03-101","2191","11970","220",NA
"141","Leslie Electric Company","Arkansas","03-105",NA,"5212","133",NA
"142","Marshall Ice & Electric","Arkansas","03-107",NA,"10945","225",NA
"143","Oklahoma Gas and Electric","Arkansas","03-127",NA,NA,"13445",NA
"144","Public Utilities Company","Arkansas","03-133","62563","34469","1007","822915"
"145","Salem Light & Ice Company","Arkansas","03-139",NA,NA,"123",NA
"146","Southwestern Gas and Electric","Arkansas","03-152",NA,NA,"17153",NA
"147","West Memphis Power & Water","Arkansas","03-166","172991","94545","900","2238120"
"148","Bradley Lumber Company of","Arkansas","03-210",NA,NA,NA,NA
"149","Caddo River Lumber Company","Arkansas","03-232",NA,NA,NA,NA
"150","Crossett Lumber Company","Arkansas","03-239","628587","628587","3",NA
"151","Dierks Lumber & Coal Company","Arkansas","03-243","505410","505410","1840505410268163",NA
"152","Republic Mining and Manufac","Arkansas","03-276","207206","4831","262",NA
"153","Union Saw Mill Company","Arkansas","03-309",NA,NA,NA,NA
"154","'Augusta City Light and Water","Arkansas","03-510","38125","15256","407",NA
"155","*Benton Electric Light and Power","Arkansas","03-521","128728","62428","1261",NA
"156","*Bentonville Light and Water","Arkansas","03-532",NA,NA,NA,NA
"157","M larksville Consolidated Water","Arkansas","03-543","152000","43000",NA,NA
"158","*Conway Corporation","Arkansas","03-554","387254","99156",NA,NA
"159","*Forrest City Water & Light","Arkansas","03-565","390000","85786","1600",NA
"160","""Hope Water and Light Plant","Arkansas","03-576","304989",NA,"1792",NA
"161","'City Water and Light Plant of the","Arkansas","03-587","95718","221373","3480",NA
"162","'North Little Rock Electric","Arkansas","03-598","307352","344970","6837","10393500"
"163","'Osceola Light and Power Plant","Arkansas","03-609","324360","87442",NA,NA
"164","'Paragould Light Plant","Arkansas","03-615","223336","72327","1737",NA
"165","*Paris Municipal Light Plant","Arkansas","03-620","162635","62414","888",NA
"166","*Piggott Public Improvement","Arkansas","03-631","100066","25462","929",NA
"167","*Prescott Water and Light Plant","Arkansas","03-642","110326","42784","720",NA
"168","*Siloam Springs Municipal Light","Arkansas","03-653","136100","48235","1027",NA
"169","""Light & Water Department","Arkansas","03-670","210000",NA,"1",NA
"170","'Arkansas Valley Electric Co","Arkansas","03-808","492044","22","1239","479460"
"171","*C & L Rural Electric Cooperative","Arkansas","03-817","139623","12242","370","100260"
"172","*Carroll Electric Cooperative","Arkansas","03-823","699071","47660","1940","650580"
"173","*Clay County Electric Cooperative","Arkansas","03-825","303259","21813","638","207101"
"174","*Craighead Electric Cooperative","Arkansas","03-828","649680","60625","2140",NA
"175","*Farmers Electric Cooperative","Arkansas","03-850","198969","15989","493","295240"
"176","*First Electric Cooperative Cor","Arkansas","03-853","451959",NA,"1258","335680"
"177","'Mississippi County Electric","Arkansas","03-905","224206","17878","499","148439"
"178","*North Arkansas Electric Coop","Arkansas","03-920","164580","5340","438","2902000"
"179","""Ouachita Rural Electric Coop","Arkansas","03-930","105617","5220","287","10375"
"180","*Ozarks Rural Electric Coopera","Arkansas","03-935","311571",NA,"1087","441540"
"181","'""Southwest Arkansas Electric","Arkansas","03-950","410622","29203","907","438520"
"182","Bay Point Light & Power","California","04-010","108345","35328","480","1854000"
"183","Alex Brown Electric Plant","California","04-022","32495","24196",NA,"773760"
"184","California Electric Power","California","04-026",NA,NA,NA,NA
"185","1941.","California","04-100",NA,NA,NA,NA
"186","The California Oregon Power","California","04-028",NA,"1793416","7970",NA
"187","California-Pacific Utilities","California","04-030","1107306","320205",NA,"12357801"
"188","California Public Service","California","04-031","998256","268839","4455","7540838"
"189","See also: Operations reported under Oregon","California","04-037",NA,NA,NA,NA
"190","Central Mendocino County Power","California","04-037",NA,NA,NA,NA
"191","Principal Officers:","California","04-031","175654","55141",NA,"1334615"
"192","Coast Counties Gas and Electric","California","04-043","7125934","1667697",NA,"75371733"
"193","Charles L. East","California","04-052",NA,"16000","350",NA
"194","Fontana Power Company","California","04-058","426994","42473","6","312216"
"195","Imperial Valley Electric Power Co.","California","04-064","13212","18732","140","467000"
"196","Indian Valley Light & Power Co.","California","04-067","91034","72264","498","4554000"
"197","Klamath Water, Light & Power","California","04-070","8232","6691","131",NA
"198","Lucerne Water, Light and Power","California","04-082",NA,NA,NA,NA
"199","Walton N. Moore Corporation","California","04-088",NA,NA,NA,NA
"200","The Nevada-California Electric","California","04-100",NA,NA,NA,NA
"201","Principal Officers:","California","04-026","44838840","4710803",NA,"179039480"
"202","Northern Light & Power Co.","California","04-102",NA,"23638","326",NA
"203","Oaks Light & Power Co.","California","04-103","25934","4732","166","127040"
"204","Pacific Gas and Electric Company","California","04-109","741448680","78034","912690","865574953"
"205","J. F. Partington","California","04-112","14914","5473","79","192760"
"206","Pinole Light & Power Company","California","04-114","69354","38345","872","1216500"
"207","Point Arena Electric Light &","California","04-116","37716","10264","217",NA
"208","Public Utilities California","California","04-118","531026","104985","2708","98312"
"209","San Diego Gas & Electric","California","04-124","28934416","6133697","98009","2304000"
"210","San Gorgonio Electric Corporation","California","04-130","514878",NA,NA,NA
"211","Sierra City Electric Light Plant","California","04-140","5400","1450","58",NA
"212","Sierra Pacific Power Company","California","04-143",NA,"209033","1766",NA
"213","Southern California Edison","California","04-149","368648082","46393848","629510","48443238"
"214","Southern California Water","California","04-150","251446","54908","1198","933600"
"215","Turn Back Creek Light & Power","California","04-158","12202","21712","658","500802"
"216","Vallejo Electric Light and Power","California","04-164","1175803","480452","9218","17632000"
"217","American Potash & Chemical","California","04-205","3203725","15422","228",NA
"218","Arrowhead Lake Corporation","California","04-210",NA,NA,NA,NA
"219","California Liquidating Company","California","04-230",NA,"208","47",NA
"220","Coos Bay Lumber Company","California","04-232",NA,NA,NA,NA
"221","Hammond Redwood Company","California","04-243",NA,"681","130",NA
"222","Hercules Powder Company","California","04-247",NA,"21","100",NA
"223","Hobbs Wall Company","California","04-254",NA,NA,NA,NA
"224","The Irvine Company","California","04-256","180000","23000","55",NA
"225","Washington Light & Water Co.","California","04-258","4275","190",NA,NA
"226","The McCloud River Lumber","California","04-259",NA,"48600","602",NA
"227","Pacific Electric Railway Company","California","04-260","7458993","5769","26",NA
"228","The Pacific Lumber Company","California","04-261",NA,"8500","320",NA
"229","Pickering Lumber Corporation","California","04-265",NA,NA,NA,NA
"230","The Red River Lumber Co.","California","04-267",NA,NA,"1363",NA
"231","Sacramento River Farms, Ltd.","California","04-270","12118","2046","139",NA
"232","Santa Catalina Island Company","California","04-275","14476","52170","1",NA
"233","Union Lumber Company","California","04-287",NA,"22419","1",NA
"234","Hobart Estate Company and","California","04-288","1201064","167567","994","1475760"
"235","Union Pacific Railroad Company","California","04-290",NA,NA,NA,NA
"236","Weyerhaeuser Timber Company","California","04-309",NA,NA,NA,NA
"237","*Alameda Bureau of Electricity,","California","04-510","1502203","736012","12287","40744780"
"238","*Anaheim Light and Water","California","04-517","489205","236537","4205","9724800"
"239","*City of Avalon-Utility Depart","California","04-522","35403","85756","1086","2047039"
"240","*Azusa Light, Power and Water","California","04-524","172891","82165","1539","2743476"
"241","""Banning Electrical Department","California","04-531","192014","8362",NA,"252780"
"242","*Biggs Municipal Utilities","California","04-538","15000","994","200","398640"
"243","*Burbank Public Service .","California","04-545","2572426","954728","12616","63663378"
"244","*City of Colton","California","04-552","132470","126687","2931","5379839"
"245","*East Bay Municipal Utility","California","04-559","762181","307186","1",NA
"246","""Glendale Public Service","California","04-573","7180448","1566681","29188","81621490"
"247","*Gridley Municipal Utilities","California","04-580","98624","66147","866","1911200"
"248","*Healdsburg Municipal Light and","California","04-587","77338","63411","1020","2055200"
"249","""Imperial Irrigation District","California","04-590","5910765","708449","9440",NA
"250","*City of Lodi","California","04-594","315094","233919","3771","11201440"
"251","""Lompoc Light and Water","California","04-601","137697","80515","1166","2188"
"252","*City of Los Angeles Department","California","04-608","211629840","30152242","496001","66487253"
"253","*The Metropolitan Water District","California","04-610",NA,"455205","2","188021328"
"254","*Merced Irrigation District","California","04-611","21631748","574984",NA,NA
"255","'Modesto Irrigation District","California","04-612","3844119","855973","11964","6772176"
"256","*Yosemite National Park Electric","California","04-613","865","50022","18","1389937"
"257","*Owens Valley Light and Power","California","04-615","1857128",NA,"641","6809971"
"258","*City of Palo Alto","California","04-622","842939","344091","6584","15176000"
"259","* Pasadena Municipal Light and","California","04-629","10585035","1672411","32861","77638800"
"260","*The City of Redding Electrical","California","04-636","263668","292383","3132","15247600"
"261","*City of Riverside, Electric Light","California","04-643","2006781","707612","12192","32445000"
"262","*City of Roseville","California","04-650","16168","119833","2636","4820800"
"263","•City and County of San Francisco,","California","04-655","12385001","2412423",NA,NA
"264","*Santa Clara Light and Power","California","04-657","45283","136802","2243","8408000"
"265","'Truckee Public Utility District","California","04-658","39060","26134","367",NA
"266","""Turlock Irrigation District","California","04-659","4979597","837415","8451",NA
"267","*City of Ukiah","California","04-664","121838","93985","1458","5400200"
"268","* I"". S. Bureau of Reclamation,","California","04-665","374836","40968",NA,"1600"
"269","*Escondido Mutual Water","California","04-805","173570","67885","898","1018750"
"270","'Mountain Empire Electric Co","California","04-900","91030","10014","310","37440"
"271","*PIumas-Sierra Rural Electric","California","04-928","324340","35616","548","684300"
"272","The Arvada Electric Company","Colorado","05-010",NA,NA,"1980",NA
"273","C. H. Baldon & Sons","Colorado","05-011",NA,NA,NA,NA
"274","The Carbondale Light & Power","Colorado","05-016",NA,"7295","137","93120"
"275","Colorado Central Power Company","Colorado","05-022","1693172","587385","9104","18892408"
"276","Colorado Utilities Corporation","Colorado","05-028","1051128","159577","1755",NA
"277","Commonwealth Utilities","Colorado","05-031","78317","123549","1034","1722810"
"278","Eagle River Electric Co.","Colorado","05-034","83632","19826","313",NA
"279","Evergreen Public Service Co.","Colorado","05-037","94671","34318","862","470400"
"280","The Glenwood Light and Water","Colorado","05-043","200846","07767","1030","485440"
"281","Grand County Light, Heat &","Colorado","05-046","76660","23440","320","321024"
"282","Grand Lake Light Company","Colorado","05-047",NA,NA,NA,NA
"283","Highland Utilities Company","Colorado","05-052","1205844","142300",NA,"1356702"
"284","The Home Gas and Electric","Colorado","05-055","2105980","892667","8478","27902530"
"285","The Inland Utilities Company","Colorado","05-058",NA,"105096","1622",NA
"286","Kit Carson Light and Power","Colorado","05-059",NA,NA,NA,NA
"287","Kim Light and Power Company","Colorado","05-060",NA,NA,NA,NA
"288","Kremmling Light and Power","Colorado","05-061","29662","14350","182","85591"
"289","Lake Garage and Light Company","Colorado","05-062",NA,NA,NA,NA
"290","La Veta Light, Heat & Power Co.","Colorado","05-064","17934","12088",NA,"237840"
"291","The Mountain Utilities","Colorado","05-070",NA,"76024","1308","433450"
"292","New Light & Power Co.","Colorado","05-073","39987","18377","230",NA
"293","Orchard Power, Light, Water &","Colorado","05-076","4578","1691","39","13500"
"294","Pine River Power Co.","Colorado","05-082","64000","18563","269",NA
"295","The Plateau Valley Light & Power","Colorado","05-085",NA,"8925","179",NA
"296","Public Service Company of","Colorado","05-088","82522121","11711206","139988","30863453"
"297","San Miguel Light & Power Co.","Colorado","05-098",NA,"8413",NA,NA
"298","Silver-ton Electric Light Co. •","Colorado","05-100",NA,"22968","420","432480"
"299","Southern Colorado Power","Colorado","05-103","1601195","3208074","27281","2211000"
"300","The Trinidad Electric Transmis","Colorado","05-109","6463891","593020",NA,"12058240"
"301","The Western Colorado Power","Colorado","05-112","8726017","747033",NA,NA
"302","The Western Public Service","Colorado","05-115",NA,"95268","1087",NA
"303","The Calumet Fuel Company","Colorado","05-220",NA,NA,NA,NA
"304","The Colorado Fuel and Iron","Colorado","05-223",NA,NA,NA,NA
"305","Colorado Portland Cement Co.","Colorado","05-229",NA,NA,NA,NA
"306","E. I. du Pont de Nemours & Co.","Colorado","05-234",NA,NA,NA,NA
"307","Utah Fuel Company","Colorado","05-259",NA,NA,NA,NA
"308","The Victor-American Fuel Co.","Colorado","05-260",NA,NA,NA,NA
"309","'Bonanza Electric Light System","Colorado","05-511","500",NA,NA,NA
"310","'Burlington Municipal Light,","Colorado","05-518",NA,"29861","359",NA
"311","*City of Colorado Springs, Dept. of","Colorado","05-525","4076335","777627","15421",NA
"312","*City of Creede Electric Service &","Colorado","05-532",NA,NA,NA,NA
"313","""Crested Butte Light and Water","Colorado","05-539",NA,"11287","309",NA
"314","-Town of Crook Municipal Plant","Colorado","05-546",NA,NA,NA,NA
"315","*Town of Dacono","Colorado","05-553",NA,"2498","83",NA
"316","*City of Delta","Colorado","05-555","256172","72467","1059",NA
"317","*Town of Eckley","Colorado","05-560",NA,NA,NA,NA
"318","*Erie Municipal Lighting System","Colorado","05-567",NA,"7785","251",NA
"319","*Flagler Municipal Power Plant","Colorado","05-581",NA,"10000","182",NA
"320","'Fleming Municipal Plant","Colorado","05-588","40000","4690","118",NA
"321","*Fort Collins Light and Power","Colorado","05-592","959823","261073","4131",NA
"322","""The City of Fort Morgan","Colorado","05-595","67",NA,NA,NA
"323","* Fountain Light Department","Colorado","05-602",NA,"10357",NA,"201"
"324","""Frederick Municipal Electric","Colorado","05-609",NA,"6417","178","98299"
"325","*Granada Light, Power & Water","Colorado","05-616",NA,"3404","82","76620"
"326","*Town of Gunnison","Colorado","05-630","197010","62964","750",NA
"327","*Haswell Light Plant","Colorado","05-637",NA,NA,NA,NA
"328","*Haxtun Light & Power","Colorado","05-644","79074","16327",NA,NA
"329","'Holyoke Municipal Power Plant","Colorado","05-651","227168","27974",NA,NA
"330","Mulesburg Municipal Light,","Colorado","05-658","20135","4135",NA,NA
"331","*La Junta Municipal Utilities","Colorado","05-662","488815","109010","2109",NA
"332","*Lamar Light and Power Plant","Colorado","05-665","992570","160623","2029",NA
"333","""City of Longmont","Colorado","05-672","687299",NA,"3016",NA
"334","""Loveland Electrical Department","Colorado","05-679","629840","112535","2330","236500"
"335","""Lyons Electric Department","Colorado","05-686","50000","9600","240",NA
"336","*Town of Meeker","Colorado","05-693",NA,"24992","344",NA
"337","'Oak Creek Municipal Light","Colorado","05-700",NA,"18142","533","234800"
"338","*U. S. Bureau of Reclamation,","Colorado","05-704","1052870","85027","8","10112405"
"339","*U. S. Bureau of Reclamation,","Colorado","05-705",NA,"66433","2",NA
"340","*Walden Municipal Light Plant","Colorado","05-707",NA,NA,NA,NA
"341","""Town of Wray","Colorado","05-714","177984","44220","718",NA
"342","*Town of Yuma","Colorado","05-721",NA,"37460","584",NA
"343","*Delta-Montrose Rural Power","Colorado","05-815","371301","25917","769","320350"
"344","Umpire Electric Association, Inc.","Colorado","05-820",NA,NA,NA,NA
"345","*Grand Valley Rural Power","Colorado","05-830","2839","33285","742","648600"
"346","*Highline Electric Association","Colorado","05-837","142269","8752","189","41000"
"347","*Inter mountain Rural Electric","Colorado","05-845","119105","230","252","42240"
"348","*La Plata Electric Association,","Colorado","05-855",NA,NA,NA,NA
"349","'Morgan County Rural Electric","Colorado","05-863","599800","103741","683","2872662"
"350","*Poudre Valley Rural Electric","Colorado","05-877",NA,NA,NA,NA
"351","*Redlands Water & Power Co.","Colorado","05-885",NA,"19142","98","209660"
"352","*San Isabel Electric Association,","Colorado","05-888",NA,NA,NA,NA
"353","*San Luis Valley Rural Electric","Colorado","05-890","355443","68367","024","768280"
"354","*San Miguel Power Association,","Colorado","05-892","111695","6493","317",NA
"355","'Southeast Colorado Power","Colorado","05-898","656816","54816","1199","744440"
"356","The Bozrah Electric Co.","Connecticut","06-021","88063","17193",NA,"198440"
"357","The Clinton Electric Light &","Connecticut","06-026","374117","145831",NA,"3062520"
"358","The Connecticut Light and Power","Connecticut","06-037",NA,NA,NA,NA
"359","The Connecticut Power Company","Connecticut","06-043","20333549","8795543","69955","312297159"
"360","The Danbury & Bethel Gas &","Connecticut","06-048","2171774","96712",NA,"29641935"
"361","The Derby Gas and Electric","Connecticut","06-054","3613619","1229000","11687","11390900"
"362","The Farmington River Power","Connecticut","06-070","1191300","195372","2","6318000"
"363","The Hartford Electric Light","Connecticut","06-076","32282530","8995400","74857","7843900"
"364","The Utchfield Electric Light and","Connecticut","06-081","1019158","319239",NA,"6719637"
"365","The Mystic Power Company","Connecticut","06-097","1064945","287573","4798","9610495"
"366","The Simsbury Electric Company","Connecticut","06-125","235721","85388","890","2333150"
"367","The Torrington Electric Light","Connecticut","06-147","1417331","808166",NA,"31459000"
"368","The United Illuminating Company","Connecticut","06-159","37409606",NA,NA,NA
"369","Aspinook Corporation","Connecticut","06-210",NA,NA,NA,NA
"370","Belding Hemingway Co.","Connecticut","06-233",NA,NA,NA,NA
"371","Edward Bloom Co.","Connecticut","06-245",NA,NA,NA,NA
"372","Brownell & Co., Inc.","Connecticut","06-257","1000","178",NA,NA
"373","The Collins Company","Connecticut","06-268","29441",NA,"1",NA
"374","The Ensign-Bickford Co.","Connecticut","06-280",NA,"35984","1",NA
"375","The Montgomery Company","Connecticut","06-309",NA,NA,NA,NA
"376","Ponemah Mills","Connecticut","06-315",NA,NA,"838",NA
"377","Powdrell & Alexander, Inc.","Connecticut","06-316","36148",NA,"1",NA
"378","Israel Putnam Mills","Connecticut","06-328",NA,NA,NA,NA
